raw_venue_name,raw_city,canonical_venue_name,canonical_city,canonical_country,mapping_type,confidence,source
SuperSport Park,Centurion,SuperSport Park,Centurion,South Africa,EXACT,high,identity mapping
"SuperSport Park, Centurion",Centurion,SuperSport Park,Centurion,South Africa,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
"Svanholm Park, Brondby",Brondby,"Svanholm Park, Brondby",Brondby,Denmark,EXACT,high,identity mapping
Sydney Cricket Ground,,Sydney Cricket Ground,Sydney,Australia,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
Sydney Cricket Ground,Sydney,Sydney Cricket Ground,Sydney,Australia,EXACT,high,identity mapping
Sylhet International Cricket Stadium,,Sylhet International Cricket Stadium,Sylhet,Bangladesh,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
Sylhet International Cricket Stadium,Sylhet,Sylhet International Cricket Stadium,Sylhet,Bangladesh,EXACT,high,identity mapping
Sylhet Stadium,,Sylhet Stadium,Sylhet,Bangladesh,CURATED_ALIAS,high,city unambiguous from venue name
"Tafawa Balewa Square Cricket Oval, Lagos",Lagos,"Tafawa Balewa Square Cricket Oval, Lagos",Lagos,Nigeria,EXACT,high,identity mapping
"Takashinga Sports Club, Highfield, Harare",Harare,"Takashinga Sports Club, Highfield, Harare",Harare,Zimbabwe,EXACT,high,identity mapping
"TCA Oval, Blantyre",Blantyre,"TCA Oval, Blantyre",Blantyre,Malawi,EXACT,high,identity mapping
Terdthai Cricket Ground,Bangkok,"Terdthai Cricket Ground, Bangkok",Bangkok,Thailand,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
"Terdthai Cricket Ground, Bangkok",Bangkok,"Terdthai Cricket Ground, Bangkok",Bangkok,Thailand,EXACT,high,identity mapping
The Cooper Associates County Ground,Taunton,The Cooper Associates County Ground,Taunton,England,EXACT,high,identity mapping
The Rose Bowl,Southampton,The Rose Bowl,Southampton,England,EXACT,high,identity mapping
"The Rose Bowl, Southampton",Southampton,The Rose Bowl,Southampton,England,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
"The Royal & Sun Alliance County Ground, Bristol",Bristol,"The Royal & Sun Alliance County Ground, Bristol",Bristol,England,EXACT,high,identity mapping
"The Village, Malahide",Dublin,"The Village, Malahide",Dublin,Ireland,EXACT,high,identity mapping
"The Village, Malahide, Dublin",Dublin,"The Village, Malahide",Dublin,Ireland,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
Tikkurila Cricket Ground,Vantaa,Tikkurila Cricket Ground,Vantaa,Finland,EXACT,high,identity mapping
Titwood,Glasgow,"Titwood, Glasgow",Glasgow,Scotland,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
"Titwood, Glasgow",Glasgow,"Titwood, Glasgow",Glasgow,Scotland,EXACT,high,identity mapping
Tolerance Oval,Abu Dhabi,Tolerance Oval,Abu Dhabi,United Arab Emirates,EXACT,high,identity mapping
Tony Ireland Stadium,Townsville,Tony Ireland Stadium,Townsville,Australia,EXACT,high,identity mapping
"Tony Ireland Stadium, Townsville",Townsville,Tony Ireland Stadium,Townsville,Australia,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
"Toronto Cricket, Skating and Curling Club",Toronto,"Toronto Cricket, Skating and Curling Club",Toronto,Canada,EXACT,high,identity mapping
Trent Bridge,Nottingham,Trent Bridge,Nottingham,England,EXACT,high,identity mapping
"Trent Bridge, Nottingham",Nottingham,Trent Bridge,Nottingham,England,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
Tribhuvan University International Cricket Ground,Kirtipur,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,Nepal,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,Nepal,EXACT,high,identity mapping
Udayana Cricket Ground,Bali,Udayana Cricket Ground,Bali,Indonesia,EXACT,high,identity mapping
"UKM-YSD Cricket Oval, Bangi",Bangi,"UKM-YSD Cricket Oval, Bangi",Bangi,Malaysia,EXACT,high,identity mapping
United Cricket Club Ground,Windhoek,"United Cricket Club Ground, Windhoek",Windhoek,Namibia,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
"United Cricket Club Ground, Windhoek",Windhoek,"United Cricket Club Ground, Windhoek",Windhoek,Namibia,EXACT,high,identity mapping
University of Dar-es-Salaam Ground,Dar-es-Salaam,University of Dar-es-Salaam Ground,Dar-es-Salaam,Tanzania,EXACT,high,identity mapping
University of Doha for Science and Technology,Doha,University of Doha for Science and Technology,Doha,Qatar,EXACT,high,identity mapping
University of Lagos Cricket Oval,Lagos,University of Lagos Cricket Oval,Lagos,Nigeria,EXACT,high,identity mapping
University Oval,Dunedin,University Oval,Dunedin,New Zealand,EXACT,high,identity mapping
"University Oval, Dunedin",Dunedin,University Oval,Dunedin,New Zealand,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
"Vassil Levski National Sports Academy, Sofia",Sofia,"Vassil Levski National Sports Academy, Sofia",Sofia,Bulgaria,EXACT,high,identity mapping
"Velden Cricket Ground, Latschach",Latschach,"Velden Cricket Ground, Latschach",Latschach,Austria,EXACT,high,identity mapping
Vidarbha C.A. Ground,Nagpur,Vidarbha C.A. Ground,Nagpur,India,EXACT,high,identity mapping
Vidarbha Cricket Association Ground,Nagpur,Vidarbha Cricket Association Ground,Nagpur,India,EXACT,high,identity mapping
"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,India,EXACT,high,identity mapping
"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,India,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
VRA Cricket Ground,Amstelveen,VRA Cricket Ground,Amstelveen,Netherlands,EXACT,high,identity mapping
VRA Ground,Amstelveen,"VRA Ground, Amstelveen",Amstelveen,Netherlands,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
"VRA Ground, Amstelveen",Amstelveen,"VRA Ground, Amstelveen",Amstelveen,Netherlands,EXACT,high,identity mapping
W.A.C.A. Ground,Perth,W.A.C.A. Ground,Perth,Australia,EXACT,high,identity mapping
Wanderers,Windhoek,Wanderers Cricket Ground,Windhoek,Namibia,CURATED_ALIAS,high,Windhoek bare-name variant merged
Wanderers Cricket Ground,Windhoek,Wanderers Cricket Ground,Windhoek,Namibia,EXACT,high,identity mapping
"Wanderers Cricket Ground, Windhoek",Windhoek,Wanderers Cricket Ground,Windhoek,Namibia,CURATED_ALIAS,high,Windhoek bare-name variant merged
Wankhede Stadium,Mumbai,Wankhede Stadium,Mumbai,India,EXACT,high,identity mapping
"Wankhede Stadium, Mumbai",Mumbai,Wankhede Stadium,Mumbai,India,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
"Warner Park, Basseterre",St Kitts,Warner Park,Basseterre,Saint Kitts and Nevis,CURATED_ALIAS,high,"Basseterre, St Kitts"
"Warner Park, Basseterre, St Kitts",Basseterre,Warner Park,Basseterre,Saint Kitts and Nevis,CURATED_ALIAS,high,"Basseterre, St Kitts"
"Warner Park, St Kitts",Basseterre,Warner Park,Basseterre,Saint Kitts and Nevis,CURATED_ALIAS,high,"Basseterre, St Kitts"
"West End Park International Cricket Stadium, Doha",Doha,"West End Park International Cricket Stadium, Doha",Doha,Qatar,EXACT,high,identity mapping
Western Australia Cricket Association Ground,Perth,Western Australia Cricket Association Ground,Perth,Australia,EXACT,high,identity mapping
"Westpac Park, Hamilton",Hamilton,"Westpac Park, Hamilton",Hamilton,New Zealand,EXACT,high,identity mapping
Westpac Stadium,Wellington,Westpac Stadium,Wellington,New Zealand,EXACT,high,identity mapping
"Westpac Stadium, Wellington",Wellington,Westpac Stadium,Wellington,New Zealand,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
"White Hill Field, Sandys Parish",Hamilton,"White Hill Field, Sandys Parish",Hamilton,New Zealand,EXACT,high,identity mapping
Willowmoore Park,Benoni,"Willowmoore Park, Benoni",Benoni,South Africa,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
"Willowmoore Park, Benoni",Benoni,"Willowmoore Park, Benoni",Benoni,South Africa,EXACT,high,identity mapping
"Windsor Park, Roseau",Dominica,Windsor Park,Roseau,Dominica,CURATED_ALIAS,high,"Roseau, Dominica"
"Windsor Park, Roseau, Dominica",Roseau,Windsor Park,Roseau,Dominica,CURATED_ALIAS,high,"Roseau, Dominica"
"Yeonhui Cricket Ground, Incheon",Incheon,"Yeonhui Cricket Ground, Incheon",Incheon,South Korea,EXACT,high,identity mapping
"YSD-UKM Cricket Oval, Bangi",Bangi,"YSD-UKM Cricket Oval, Bangi",Bangi,Malaysia,EXACT,high,identity mapping
Zahur Ahmed Chowdhury Stadium,Chattogram,Zahur Ahmed Chowdhury Stadium,Chattogram,Bangladesh,EXACT,high,identity mapping
Zahur Ahmed Chowdhury Stadium,Chittagong,Zahur Ahmed Chowdhury Stadium,Chattogram,Bangladesh,CURATED_ALIAS,high,city renamed Chittagong->Chattogram
"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,Zahur Ahmed Chowdhury Stadium,Chattogram,Bangladesh,CURATED_ALIAS,high,city renamed Chittagong->Chattogram
"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,United Arab Emirates,EXACT,high,identity mapping
Zhejiang University of Technology Cricket Field,Hangzhou,Zhejiang University of Technology Cricket Field,Hangzhou,China,EXACT,high,identity mapping
Zohur Ahmed Chowdhury Stadium,Chittagong,Zohur Ahmed Chowdhury Stadium,Chattogram,Bangladesh,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
